cve_id,repolink,commit_id,class
CVE-2017-4971,https://github.com/spring-projects/spring-webflow,57f2ccb66946943fbf3b3f2165eac1c8eb6b1523,pos
CVE-2018-1000134,https://github.com/pingidentity/ldapsdk,8471904a02438c03965d21367890276bc25fa5a6,pos
CVE-2016-8749,https://github.com/apache/camel,57d01e2fc8923263df896e9810329ee5b7f9b69,pos
CVE-2017-1000393,https://github.com/jenkinsci/jenkins,d7ea3f40efedd50541a57b943d5f7bbed046d091,pos
CVE-2018-8034,https://github.com/apache/tomcat,2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a,pos
CVE-2016-8747,https://github.com/apache/tomcat85,9601a937ff3b7ef5d04b2a0e950d0e44e1bb4cbd,pos
CVE-2009-3555,https://github.com/apache/tomcat55,359c7ee17f5759cc99988e1cc9e971fe4a6ffad5,pos
CVE-2017-12612,https://github.com/apache/spark,772a9b969aa179150aa216e9efd950e512e9d0b4,pos
CVE-2013-4322,https://github.com/apache/tomcat,d6a9898125f34e593de426e8c7dabb0f224fc00f,pos
CVE-2014-0119,https://github.com/apache/tomcat,50311bed8d87e452ff0e69838ba312c4fe899b2d,pos
CVE-2018-11777,https://github.com/apache/hive,00c0ee7bc4b8492476b377a6edafcc33411f14b,pos
CVE-2017-4974,https://github.com/cloudfoundry/uaa,5dc5ca9176ed5baa870680d99f37e7e559dddc5,pos
CVE-2018-1257,https://github.com/spring-projects/spring-framework,246a6db1cad205ca9b6fca00c544ab7443ba202,pos
CVE-2016-8735,https://github.com/apache/tomcat80,0f76016a4ec45635e450ada9c84ff7ee0c5f3799,pos
CVE-2016-1000338,https://github.com/bcgit/bc-java,843c2e60f67d71faf81d236f448ebbe56c62c647,pos
CVE-2014-0003,https://github.com/apache/camel,e922f89290f236f3107039de61af0375826bd96d,pos
CVE-2018-7489,https://github.com/FasterXML/jackson-databind,e8f043d1aac9b82eee907e0f0c3abbdea723a935,pos
CVE-2017-12610,https://github.com/apache/kafka,47c2753496875db2849065ad91ee03c7c842c8e,pos
CVE-2013-2135,https://github.com/apache/struts,54e5c912ebd9a1599bfcf7a719da17c28127bbe,pos
CVE-2017-4973,https://github.com/cloudfoundry/uaa,24bc5ade80560cedb9300940d2b398163ab0dc6,pos
CVE-2012-0022,https://github.com/apache/tomcat70,0351f661e9219a0682df1d2a9265c518438279c6,pos
CVE-2016-0762,https://github.com/apache/tomcat,86b2e436099cb48f30dad950175c5beeeb763756,pos
CVE-2017-3156,https://github.com/apache/cxf,1338469,pos
CVE-2014-3558,https://github.com/hibernate/hibernate-validator,c489416f699a46859c134796b3ccfea41ef3ce52,pos
CVE-2016-8749,https://github.com/apache/camel,c93a87c36aa4d14ad6f7ee1df9507fa2ca1fd91,pos
CVE-2014-3529,https://github.com/apache/poi,d72bd78c19dfb7b57395a66ae8d9269d59a87bd2,pos
CVE-2013-5679,https://github.com/ESAPI/esapi-java-legacy,41138fef5f63d9cf0d5e05d2bee2c7f682ffef3f,pos
CVE-2018-1282,https://github.com/apache/hive,63df42966cf44ffdd20d3fcdcfb70738c0432ab,pos
CVE-2017-15719,https://github.com/sebfz1/wicket-jquery-ui,3e8cfdcb0f8e6e0cf0da01e74501afb5c9bff0f,pos
CVE-2014-3558,https://github.com/hibernate/hibernate-validator,c9525ca544b1281e2b7c7347e86e87c86dc1dc6e,pos
CVE-2016-4000,https://github.com/jythontools/jython,4c337213bd2964bb36cef2d31509b49647ca6f2a,pos
CVE-2017-12626,https://github.com/apache/poi,cd6236c74b55763a27e3e9b5f269c28bc9c98419,pos
CVE-2015-5254,https://github.com/apache/activemq,6f03921b31d9fefeddb0f4fa63150ed1f94a14b,pos
CVE-2016-6802,https://github.com/apache/shiro,b15ab927709ca18ea4a02538be01919a19ab65af,pos
CVE-2018-8009,https://github.com/apache/hadoop,cedc28d4ab2a27ba47e15ab2711218d96ec88d2,pos
CVE-2017-1000391,https://github.com/jenkinsci/jenkins,566a8ddb885f0bef9bc848e60455c0aabbf0c1d3,pos
CVE-2012-0022,https://github.com/apache/tomcat70,a4bfa01d4e6fd677f6831ab7b3e513c8b94c6185,pos
CVE-2017-8032,https://github.com/cloudfoundry/uaa,ea8c0ce7740a5d756d9f11964f6a6b4df54cc3b2,pos
CVE-2014-2064,https://github.com/jenkinsci/jenkins,fbf96734470caba9364f04e0b77b0bae7293a1ec,pos
CVE-2018-11771,https://github.com/apache/commons-compress,a41ce6892cb0590b2e658704434ac0dbcb6834c8,pos
CVE-2009-0039,https://github.com/apache/geronimo,67dda0760bb0925ead201ddd5d809ff53686d63f,pos
CVE-2011-1088,https://github.com/apache/tomcat,3e5b0455483eed55752047073e92403bfca8d3ec,pos
CVE-2015-1833,https://github.com/apache/jackrabbit,26e601934d0f439f0a61d62265f52936d79df40d,pos
CVE-2017-5651,https://github.com/apache/tomcat,9233d9d6a018be4415d4d7d6cb4fe01176adf1a8,pos
CVE-2018-1000106,https://github.com/jenkinsci/gerrit-trigger-plugin,a222f2d9d1bca3422e6a462a7f587ae325455b80,pos
CVE-2016-3674,https://github.com/x-stream/xstream,5b5cd6d8137f645c5d57b648afb1a305967aa7f,pos
CVE-2014-0097,https://github.com/spring-projects/spring-security,88559882e967085c47a7e1dcbc4dc32c2c796868,pos
CVE-2017-5643,https://github.com/apache/camel,ec3d0db81ba061b27e934d5ff56e9baca0049eb,pos
CVE-2016-3084,https://github.com/cloudfoundry/uaa,460627ed419e4227b10ff121248b3ffc009011a9,pos
CVE-2013-2248,https://github.com/apache/struts,630e1ba065a8215c4e9ac03bfb09be9d655c2b6e,pos
CVE-2013-1768,https://github.com/apache/openjpa,87a4452be08b4f97274d0ccfac585ae85841e470,pos
CVE-2018-8027,https://github.com/apache/camel,22c355bb4ffb500405499d189db30932ca5aac9,pos
CVE-2013-2134,https://github.com/apache/struts,01e6b251b4db78bfb7971033652e81d1af4cb3e,pos
